init(i1)
action(n1, "start ACME resupply process")
defines(v7, "is Three-way match successful", {"Yes"})
defines(v8, "PO creation review after rework", {})
defines(v9, "PO creation review after rework", {})
defines(v10, "PO approved after rework", {})
defines(v11, "PO rejected and needs rework again", {})
defines(v12, "is Three-way match successful after rework", {"Yes"})
defines(v13, "PO creation review after second rework", {"Yes", "No"})
defines(v14, "PO approval after second rework", {})
defines(v15, "PO rejection after second rework", {})
defines(v16, "is Three-way match successful after second rework", {"Yes"})
defines(v17, "PO creation review after third rework", {"Yes", "No"})
defines(v18, "PO approval after third rework", {})
defines(v19, "PO rejection after third rework", {})
defines(v20, "is Three-way match successful after third rework", {"Yes"})
defines(v21, "PO creation review after fourth rework", {"Yes", "No"})
defines(v22, "PO approval after fourth rework", {})
defines(v23, "PO rejection after fourth rework", {})
defines(v24, "is Three-way match successful after fourth rework", {"Yes"})
actor(a_default, "Default", [i1, n1, n2, n3, n4, b1, n5, n6, n7, b2, n8, b3, n9, n10, e1, n11, b4, n12, n13, b5, n14, n15, b6, n16, n17, n18, n19, n20, n21, n22, n23, n24, n25, b7, n26, n27, n28, e2, n29, n30, n31, n32, b8, n33, b9, n34, n35, b10, n36, b11, n37, n38, n39, n40, n41, n42, n43, n44, n45, n46, n47, b12, n48, n49, n50, e3, n51, n52, b13, n53, b14, n54, b15, n55, n56, n57, n58, n59, n60, n61, n62, n63, n64, n65, b16, n66, n67, n68, e4, n69, n70, b17, n71, b18, n72, b19, n73, n74, n75, n76, n77, n78, n79, n80, n81, n82, n83, b20, n84, n85, n86, e5, n87, n88, b21, n89, b22, n90, b23, n91, n92, n93, n94, n95, n96, n97, n98, n99, n100, n101, b24, n102, n103, n104, e6, n105, n106, e7, c1, c2, b25, b26, b27, b28, b29, b30, b31, b32])

precedence(i1, n1)
precedence(n4, b1)
precedence(n7, b2)
precedence(n8, b3)
precedence(n10, e1)
precedence(n11, b4)
precedence(n13, b5)
precedence(n15, b6)
precedence(n25, b7)
precedence(n28, e2)
precedence(n32, b8)
precedence(n33, b9)
precedence(n35, b10)
precedence(n36, b11)
precedence(n47, b12)
precedence(n50, e3)
precedence(n52, b13)
precedence(n53, b14)
precedence(n54, b15)
precedence(n65, b16)
precedence(n68, e4)
precedence(n70, b17)
precedence(n71, b18)
precedence(n72, b19)
precedence(n83, b20)
precedence(n86, e5)
precedence(n88, b21)
precedence(n89, b22)
precedence(n90, b23)
precedence(n101, b24)
precedence(n104, e6)
precedence(n106, e7)
precedence(c1, n31)
precedence(c2, n34)
precedence(n14, b25)
precedence(n17, b26)
precedence(n18, b27)
precedence(n34, b28)
precedence(n37, b29)
precedence(n55, b30)
precedence(n73, b31)
precedence(n91, b32)
precedence(n1, n2)
precedence(n2, n3)
precedence(n3, n4)
precedence(b1, n5)
precedence(b1, n6)
precedence(n5, n7)
precedence(n6, n8)
precedence(b2, n9)
precedence(b3, n10)
precedence(n9, n11)
precedence(b4, n12)
precedence(b4, n13)
precedence(b5, n14)
precedence(b5, n15)
precedence(b6, n16)
precedence(b25, n17)
precedence(b25, n18)
precedence(b26, n19)
precedence(b27, n20)
precedence(n19, n21)
precedence(n20, n22)
precedence(n21, n23)
precedence(n23, n24)
precedence(n24, n25)
precedence(b7, n26)
precedence(n26, n27)
precedence(n27, n28)
precedence(n12, n29)
precedence(n16, n30)
precedence(b26, c1)
precedence(b27, c1)
precedence(n29, n32)
precedence(n30, n33)
precedence(b8, c2)
precedence(b9, c2)
precedence(b28, n35)
precedence(b28, n36)
precedence(b10, n37)
precedence(b11, n38)
precedence(b29, n39)
precedence(b29, n40)
precedence(n39, n41)
precedence(n40, n42)
precedence(n41, n43)
precedence(n42, n44)
precedence(n43, n45)
precedence(n45, n46)
precedence(n46, n47)
precedence(b12, n48)
precedence(n48, n49)
precedence(n49, n50)
precedence(n38, n51)
precedence(n51, n52)
precedence(b13, n53)
precedence(b13, n54)
precedence(b14, n55)
precedence(b15, n56)
precedence(b30, n57)
precedence(b30, n58)
precedence(n57, n59)
precedence(n58, n60)
precedence(n59, n61)
precedence(n60, n62)
precedence(n61, n63)
precedence(n63, n64)
precedence(n64, n65)
precedence(b16, n66)
precedence(n66, n67)
precedence(n67, n68)
precedence(n56, n69)
precedence(n69, n70)
precedence(b17, n71)
precedence(b17, n72)
precedence(b18, n73)
precedence(b19, n74)
precedence(b31, n75)
precedence(b31, n76)
precedence(n75, n77)
precedence(n76, n78)
precedence(n77, n79)
precedence(n78, n80)
precedence(n79, n81)
precedence(n81, n82)
precedence(n82, n83)
precedence(b20, n84)
precedence(n84, n85)
precedence(n85, n86)
precedence(n74, n87)
precedence(n87, n88)
precedence(b21, n89)
precedence(b21, n90)
precedence(b22, n91)
precedence(b23, n92)
precedence(b32, n93)
precedence(b32, n94)
precedence(n93, n95)
precedence(n94, n96)
precedence(n95, n97)
precedence(n96, n98)
precedence(n97, n99)
precedence(n99, n100)
precedence(n100, n101)
precedence(b24, n102)
precedence(n102, n103)
precedence(n103, n104)
precedence(n92, n105)
precedence(n105, n106)
guard(b1, n5, v1 = 'Yes')
guard(b1, n6, v1 = 'No')
guard(b2, n9, v2 = 'Yes')
guard(b3, n10, v3 = 'Yes')
guard(b4, n12, v4 = 'No')
guard(b4, n13, v4 = 'Yes')
guard(b5, n14, v5 = 'Yes')
guard(b5, n15, v5 = 'No')
guard(b7, n26, v7 = 'Yes')
guard(b12, n48, v12 = 'Yes')
guard(b13, n53, v13 = 'Yes')
guard(b13, n54, v13 = 'No')
guard(b16, n66, v16 = 'Yes')
guard(b17, n71, v17 = 'Yes')
guard(b17, n72, v17 = 'No')
guard(b20, n84, v20 = 'Yes')
guard(b21, n89, v21 = 'Yes')
guard(b21, n90, v21 = 'No')
guard(b24, n102, v24 = 'Yes')
label(n5, n7, "Yes")
label(n6, n8, "No")
label(b26, n19, "Yes")
label(b27, n20, "Yes")
label(b28, n35, "Yes")
label(b28, n36, "No")
label(n39, n41, "Yes")
label(n40, n42, "Yes")
label(n57, n59, "Yes")
label(n58, n60, "Yes")
label(n75, n77, "Yes")
label(n76, n78, "Yes")
label(n93, n95, "Yes")
label(n94, n96, "Yes")
label(n105, n106, "No further steps specified")
