sample_id,dataset,variant,llm,run,original_id
191,PAGED,LADEX-ALG-LLM,gpt41mini,gpt41mini-3,778
192,PAGED,LADEX-ALG-NA,local,local-2,29
193,PAGED,Baseline,gpt41mini,gpt41mini-4,629
194,PAGED,LADEX-LLM-NA,local,local-1,274
195,PAGED,LADEX-ALG-NA,local,local-4,233
196,PAGED,Baseline,gpt41mini,gpt41mini-2,716
197,PAGED,LADEX-LLM-LLM,O4Mini,O4Mini-2,241
198,PAGED,LADEX-ALG-LLM,O4Mini,O4Mini-1,550
199,PAGED,LADEX-ALG-NA,local,local-5,860
200,PAGED,LADEX-ALG-LLM,local,local-4,1193
201,PAGED,LADEX-ALG-NA,local,local-2,1196
202,PAGED,Baseline,local,local-4,776
203,PAGED,LADEX-LLM-NA,O4Mini,O4Mini-1,661
204,PAGED,LADEX-ALG-NA,O4Mini,O4Mini-3,220
205,PAGED,LADEX-ALG-LLM,local,local-1,539
206,PAGED,LADEX-LLM-NA,gpt41mini,gpt41mini-5,343
207,PAGED,LADEX-ALG-LLM,gpt41mini,gpt41mini-4,953
208,PAGED,LADEX-LLM-NA,O4Mini,O4Mini-5,629
209,PAGED,LADEX-LLM-NA,O4Mini,O4Mini-3,990
210,PAGED,Baseline,gpt41mini,gpt41mini-1,595
211,PAGED,LADEX-ALG-NA,O4Mini,O4Mini-3,241
212,PAGED,LADEX-LLM-LLM,gpt41mini,gpt41mini-2,855
213,PAGED,LADEX-ALG-LLM,O4Mini,O4Mini-4,241
214,PAGED,LADEX-ALG-NA,local,local-3,852
215,PAGED,LADEX-LLM-NA,gpt41mini,gpt41mini-1,623
216,PAGED,LADEX-LLM-LLM,gpt41mini,gpt41mini-2,1049
217,PAGED,LADEX-LLM-LLM,gpt41mini,gpt41mini-1,861
218,PAGED,LADEX-ALG-LLM,gpt41mini,gpt41mini-4,636
219,PAGED,LADEX-LLM-NA,O4Mini,O4Mini-4,1120
220,PAGED,LADEX-LLM-NA,gpt41mini,gpt41mini-4,191
221,PAGED,LADEX-LLM-LLM,gpt41mini,gpt41mini-2,822
222,PAGED,LADEX-LLM-LLM,local,local-5,438
223,PAGED,LADEX-ALG-LLM,O4Mini,O4Mini-5,776
224,PAGED,LADEX-ALG-LLM,local,local-3,211
225,PAGED,LADEX-ALG-LLM,local,local-1,5
226,PAGED,LADEX-LLM-LLM,O4Mini,O4Mini-4,359
227,PAGED,Baseline,gpt41mini,gpt41mini-4,597
228,PAGED,LADEX-ALG-NA,gpt41mini,gpt41mini-1,852
229,PAGED,LADEX-LLM-NA,O4Mini,O4Mini-3,759
230,PAGED,Baseline,gpt41mini,gpt41mini-4,849
231,PAGED,Baseline,O4Mini,O4Mini-1,266
232,PAGED,LADEX-LLM-LLM,O4Mini,O4Mini-1,883
233,PAGED,LADEX-ALG-NA,local,local-2,971
234,PAGED,LADEX-ALG-LLM,local,local-4,1232
235,PAGED,Baseline,gpt41mini,gpt41mini-1,948
236,PAGED,LADEX-LLM-LLM,O4Mini,O4Mini-3,229
237,PAGED,LADEX-LLM-LLM,local,local-5,1151
238,PAGED,LADEX-ALG-NA,O4Mini,O4Mini-4,1146
239,PAGED,LADEX-LLM-NA,local,local-4,511
240,PAGED,LADEX-LLM-NA,local,local-5,359
241,PAGED,Baseline,local,local-5,860
242,PAGED,LADEX-ALG-NA,O4Mini,O4Mini-3,351
243,PAGED,LADEX-ALG-NA,local,local-5,220
244,PAGED,Baseline,O4Mini,O4Mini-3,661
245,PAGED,LADEX-LLM-NA,local,local-4,839
246,PAGED,LADEX-ALG-LLM,O4Mini,O4Mini-4,886
247,PAGED,LADEX-ALG-LLM,local,local-1,716
248,PAGED,Baseline,gpt41mini,gpt41mini-5,41
249,PAGED,LADEX-LLM-NA,local,local-4,901
250,PAGED,LADEX-LLM-LLM,O4Mini,O4Mini-4,304
251,PAGED,LADEX-LLM-NA,local,local-1,268
252,PAGED,LADEX-LLM-LLM,O4Mini,O4Mini-1,359
253,PAGED,LADEX-LLM-LLM,local,local-3,623
254,PAGED,LADEX-ALG-NA,local,local-5,600
255,PAGED,LADEX-ALG-LLM,O4Mini,O4Mini-2,1203
256,PAGED,LADEX-LLM-LLM,local,local-2,649
257,PAGED,Baseline,gpt41mini,gpt41mini-3,884
258,PAGED,LADEX-LLM-LLM,gpt41mini,gpt41mini-2,151
259,PAGED,LADEX-ALG-NA,gpt41mini,gpt41mini-5,341
260,PAGED,LADEX-ALG-LLM,local,local-1,1052
261,PAGED,LADEX-LLM-NA,gpt41mini,gpt41mini-2,842
262,PAGED,LADEX-LLM-LLM,O4Mini,O4Mini-5,141
263,PAGED,LADEX-LLM-NA,local,local-1,247
264,PAGED,Baseline,gpt41mini,gpt41mini-5,95
265,PAGED,LADEX-LLM-LLM,O4Mini,O4Mini-5,515
266,PAGED,Baseline,local,local-5,247
267,PAGED,LADEX-ALG-NA,gpt41mini,gpt41mini-5,902
268,PAGED,LADEX-LLM-LLM,O4Mini,O4Mini-3,1151
269,PAGED,Baseline,local,local-4,600
270,PAGED,LADEX-LLM-LLM,local,local-3,368
271,PAGED,Baseline,O4Mini,O4Mini-5,1147
272,PAGED,LADEX-ALG-LLM,O4Mini,O4Mini-4,341
273,PAGED,LADEX-ALG-LLM,local,local-5,842
274,PAGED,LADEX-ALG-LLM,O4Mini,O4Mini-1,1121
275,PAGED,LADEX-ALG-LLM,O4Mini,O4Mini-5,303
276,PAGED,LADEX-LLM-NA,O4Mini,O4Mini-5,343
277,PAGED,Baseline,O4Mini,O4Mini-1,901
278,PAGED,LADEX-LLM-LLM,gpt41mini,gpt41mini-1,57
279,PAGED,LADEX-LLM-LLM,gpt41mini,gpt41mini-5,584
280,PAGED,Baseline,local,local-5,956
281,PAGED,Baseline,O4Mini,O4Mini-1,1121
282,PAGED,LADEX-ALG-LLM,O4Mini,O4Mini-5,822
283,PAGED,Baseline,gpt41mini,gpt41mini-3,136
284,PAGED,LADEX-ALG-NA,O4Mini,O4Mini-2,796
285,PAGED,LADEX-ALG-NA,gpt41mini,gpt41mini-4,759
286,PAGED,LADEX-LLM-NA,O4Mini,O4Mini-4,886
287,PAGED,LADEX-LLM-NA,local,local-2,822
288,PAGED,Baseline,gpt41mini,gpt41mini-2,886
289,PAGED,LADEX-LLM-LLM,gpt41mini,gpt41mini-3,28
290,PAGED,LADEX-ALG-LLM,local,local-2,584
291,PAGED,LADEX-LLM-NA,gpt41mini,gpt41mini-5,96
292,PAGED,LADEX-ALG-LLM,local,local-2,411
293,PAGED,Baseline,O4Mini,O4Mini-5,1019
294,PAGED,LADEX-LLM-LLM,local,local-3,343
295,PAGED,Baseline,O4Mini,O4Mini-4,189
296,PAGED,LADEX-LLM-NA,local,local-2,17
297,PAGED,LADEX-LLM-LLM,local,local-5,23
298,PAGED,LADEX-ALG-NA,gpt41mini,gpt41mini-5,860
299,PAGED,LADEX-ALG-NA,O4Mini,O4Mini-2,233
300,PAGED,LADEX-LLM-NA,gpt41mini,gpt41mini-1,351
301,PAGED,LADEX-ALG-LLM,local,local-2,1073
302,PAGED,LADEX-LLM-NA,O4Mini,O4Mini-5,853
303,PAGED,LADEX-LLM-NA,O4Mini,O4Mini-5,1232
304,PAGED,LADEX-ALG-LLM,local,local-4,929
305,PAGED,Baseline,local,local-4,857
306,PAGED,LADEX-LLM-NA,O4Mini,O4Mini-5,103
307,PAGED,LADEX-ALG-LLM,local,local-4,395
308,PAGED,LADEX-LLM-NA,O4Mini,O4Mini-4,269
309,PAGED,LADEX-ALG-NA,O4Mini,O4Mini-4,886
310,PAGED,LADEX-LLM-NA,gpt41mini,gpt41mini-3,251
311,PAGED,LADEX-ALG-LLM,gpt41mini,gpt41mini-2,1015
312,PAGED,LADEX-ALG-NA,gpt41mini,gpt41mini-2,543
313,PAGED,LADEX-LLM-LLM,O4Mini,O4Mini-1,778
314,PAGED,LADEX-LLM-LLM,local,local-5,1070
315,PAGED,LADEX-LLM-LLM,O4Mini,O4Mini-5,406
316,PAGED,LADEX-LLM-NA,gpt41mini,gpt41mini-4,962
317,PAGED,LADEX-LLM-NA,local,local-2,51
318,PAGED,LADEX-ALG-LLM,O4Mini,O4Mini-1,933
319,PAGED,LADEX-ALG-NA,local,local-2,753
320,PAGED,LADEX-ALG-NA,gpt41mini,gpt41mini-1,902
321,PAGED,LADEX-ALG-LLM,gpt41mini,gpt41mini-3,753
322,PAGED,Baseline,O4Mini,O4Mini-3,1097
323,PAGED,LADEX-LLM-LLM,local,local-1,884
324,PAGED,Baseline,gpt41mini,gpt41mini-2,629
325,PAGED,Baseline,gpt41mini,gpt41mini-2,371
326,PAGED,LADEX-ALG-LLM,gpt41mini,gpt41mini-1,191
327,PAGED,Baseline,local,local-5,269
328,PAGED,LADEX-LLM-NA,local,local-4,1139
329,PAGED,LADEX-LLM-LLM,gpt41mini,gpt41mini-5,811
330,PAGED,Baseline,local,local-2,27
331,PAGED,LADEX-ALG-LLM,O4Mini,O4Mini-3,509
332,PAGED,LADEX-LLM-LLM,O4Mini,O4Mini-1,653
333,PAGED,LADEX-LLM-NA,gpt41mini,gpt41mini-5,11
334,PAGED,LADEX-ALG-LLM,O4Mini,O4Mini-1,822
335,PAGED,LADEX-ALG-LLM,O4Mini,O4Mini-5,27
336,PAGED,LADEX-ALG-NA,gpt41mini,gpt41mini-1,1028
337,PAGED,Baseline,O4Mini,O4Mini-2,111
338,PAGED,LADEX-ALG-LLM,O4Mini,O4Mini-3,902
339,PAGED,Baseline,O4Mini,O4Mini-3,759
340,PAGED,LADEX-ALG-LLM,local,local-3,550
341,PAGED,LADEX-LLM-LLM,gpt41mini,gpt41mini-5,849
342,PAGED,LADEX-ALG-NA,O4Mini,O4Mini-5,29
343,PAGED,Baseline,local,local-1,144
344,PAGED,LADEX-ALG-NA,O4Mini,O4Mini-3,326
345,PAGED,LADEX-LLM-LLM,local,local-2,921
346,PAGED,LADEX-LLM-NA,gpt41mini,gpt41mini-1,95
347,PAGED,LADEX-ALG-NA,gpt41mini,gpt41mini-5,956
348,PAGED,LADEX-LLM-NA,local,local-5,322
349,PAGED,LADEX-ALG-NA,gpt41mini,gpt41mini-4,842
350,PAGED,LADEX-LLM-NA,gpt41mini,gpt41mini-1,416
351,PAGED,Baseline,O4Mini,O4Mini-4,344
352,PAGED,LADEX-LLM-NA,gpt41mini,gpt41mini-2,776
353,PAGED,LADEX-ALG-NA,gpt41mini,gpt41mini-2,1155
354,PAGED,LADEX-LLM-NA,gpt41mini,gpt41mini-1,1141
355,PAGED,Baseline,O4Mini,O4Mini-1,1025
356,PAGED,Baseline,local,local-3,1
357,PAGED,LADEX-ALG-NA,local,local-2,530
358,PAGED,LADEX-LLM-NA,O4Mini,O4Mini-4,427
359,PAGED,LADEX-LLM-NA,gpt41mini,gpt41mini-5,1070
360,PAGED,LADEX-ALG-NA,gpt41mini,gpt41mini-1,716
361,PAGED,Baseline,local,local-2,920
362,PAGED,Baseline,gpt41mini,gpt41mini-1,236
363,PAGED,Baseline,local,local-3,267
364,PAGED,LADEX-LLM-LLM,local,local-3,1028
365,PAGED,LADEX-LLM-LLM,local,local-1,1141
366,PAGED,LADEX-ALG-NA,O4Mini,O4Mini-1,480
367,PAGED,LADEX-ALG-NA,local,local-4,956
368,PAGED,LADEX-LLM-LLM,O4Mini,O4Mini-5,1005
369,PAGED,LADEX-LLM-NA,local,local-2,770
370,PAGED,LADEX-ALG-LLM,gpt41mini,gpt41mini-2,1010
371,PAGED,LADEX-LLM-LLM,O4Mini,O4Mini-1,28
372,PAGED,LADEX-LLM-NA,O4Mini,O4Mini-3,267
373,PAGED,LADEX-LLM-LLM,gpt41mini,gpt41mini-5,411
374,PAGED,LADEX-ALG-LLM,local,local-4,1073
375,PAGED,LADEX-ALG-NA,gpt41mini,gpt41mini-2,311
376,PAGED,Baseline,gpt41mini,gpt41mini-3,416
377,PAGED,Baseline,local,local-4,280
378,PAGED,LADEX-ALG-NA,gpt41mini,gpt41mini-4,929
379,PAGED,LADEX-LLM-NA,local,local-2,956
380,PAGED,LADEX-ALG-LLM,gpt41mini,gpt41mini-5,1102
381,PAGED,LADEX-LLM-LLM,local,local-4,643
382,PAGED,Baseline,O4Mini,O4Mini-2,629
383,PAGED,LADEX-ALG-NA,O4Mini,O4Mini-2,251
384,PAGED,LADEX-ALG-NA,O4Mini,O4Mini-1,955
385,PAGED,LADEX-LLM-NA,gpt41mini,gpt41mini-1,126
386,PAGED,LADEX-ALG-LLM,gpt41mini,gpt41mini-4,855
387,PAGED,Baseline,gpt41mini,gpt41mini-3,103
388,PAGED,LADEX-ALG-NA,O4Mini,O4Mini-1,499
389,PAGED,LADEX-LLM-LLM,gpt41mini,gpt41mini-4,258
390,PAGED,LADEX-ALG-NA,O4Mini,O4Mini-5,916
391,PAGED,LADEX-LLM-NA,local,local-4,924
392,PAGED,LADEX-LLM-LLM,gpt41mini,gpt41mini-1,631
393,PAGED,LADEX-LLM-NA,local,local-2,1019
394,PAGED,LADEX-ALG-NA,gpt41mini,gpt41mini-5,266
395,PAGED,LADEX-ALG-NA,local,local-2,51
396,PAGED,LADEX-ALG-LLM,gpt41mini,gpt41mini-3,241
397,PAGED,Baseline,gpt41mini,gpt41mini-4,1046
398,PAGED,LADEX-LLM-NA,O4Mini,O4Mini-2,416
399,PAGED,Baseline,local,local-2,510
400,PAGED,Baseline,gpt41mini,gpt41mini-3,427
